"MKF","TS_DATE","VALUE","RETURNS","OUTLIER.TYPE"
"CDSP. TRADIG.USD.SNRFOR.MR14.060M",2019-09-25,2.14882569390676,-27.8339757835965,"NJUMP"
"CDSP. TRADIG.USD.SNRFOR.MR14.060M",2019-02-21,0.562409158641097,64.4662563739759,"NJUMP"
"CDSP. TRADIG.USD.SNRFOR.MR14.060M",2019-11-16,1.77887703802381,30.4489660554795,"PJUMP"
"CDSP. TRADIG.USD.SNRFOR.MR14.060M",2019-04-17,0.907681486513639,171.555743782558,"NULL"
"CDSP. TRADIG.USD.SNRFOR.MR14.060M",2019-11-26,1.03101566387934,24.1687941906441,"PJUMP"
"CDSP. TRADIG.USD.SNRFOR.MR14.060M",2019-07-19,1.55037826205138,-167.628848712647,"NJUMP"
"CDSP. TRADIG.USD.SNRFOR.MR14.060M",2019-05-12,1.94664955315825,-29.2723018784358,"NJUMP"
"CDSP. TRADIG.USD.SNRFOR.MR14.060M",2019-08-25,0.700958914950339,58.133971363464,"NULL"
"CDSP. TRADIG.USD.SNRFOR.MR14.060M",2019-01-11,1.19982719880258,14.7196116298387,"PJUMP"
"CDSP. TRADIG.USD.SNRFOR.MR14.060M",2019-07-02,0.0554936603924658,-54.4881618372321,"NULL"
"CDSP. TRADIG.USD.SNRFOR.MR14.060M",2019-12-13,0.502564625848255,-69.4813380937521,"NULL"
"CDSP. TRADIG.USD.SNRFOR.MR14.060M",2019-04-19,0.610990116686205,-99.9339037658446,"NULL"
"CDSP. TRADIG.USD.SNRFOR.MR14.060M",2019-12-11,0.686932775902367,52.2143787480349,"NULL"
"CDSP. TRADIG.USD.SNRFOR.MR14.060M",2019-12-03,1.05046692327795,-42.2247555256871,"NULL"
"CDSP. TRADIG.USD.SNRFOR.MR14.060M",2019-12-11,1.40240894976849,-70.0286884740235,"PJUMP"
"CDSP. TRADIG.USD.SNRFOR.MR14.060M",2019-07-04,1.14573193107653,-113.984878040092,"PJUMP"
"CDSP. TRADIG.USD.SNRFOR.MR14.060M",2019-08-31,1.46073429244097,46.7665270002639,"NULL"
"CDSP. TRADIG.USD.SNRFOR.MR14.060M",2019-07-23,0.646041913110608,-108.098319705606,"NULL"
"CDSP. TRADIG.USD.SNRFOR.MR14.060M",2019-11-20,1.13452917813244,-41.0259929274737,"NULL"
