"","MKF","TS_DATE","VALUE","RETURNS","OUTLIER.TYPE"
"1","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-09-25",2.14882569390676,-27.8339757835965,"NJUMP"
"2","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-02-21",0.562409158641097,64.4662563739759,"NJUMP"
"6","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-07-19",1.55037826205138,-167.628848712647,"NJUMP"
"7","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-05-12",1.94664955315825,-29.2723018784358,"NJUMP"
"20","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-11-01",1.21545030477548,27.4221790574635,"NJUMP"
"26","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-10-05",1.2520797287726,-57.7008840104014,"NJUMP"
"27","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-01-22",0.516672731686979,-33.6701326936843,"NJUMP"
"38","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2020-01-01",0.0318169488300874,-13.5880783105877,"NJUMP"
"39","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-08-27",1.24323961284688,17.7580048530014,"NJUMP"
"41","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-01-10",0.478759175198565,76.6495645642754,"NJUMP"
"42","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-07-20",1.62770083231641,-91.7825953517708,"NJUMP"
"43","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-05-17",0.165451071126365,89.420513568077,"NJUMP"
"44","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-04-18",1.14434993744274,-150.398172165317,"NJUMP"
"45","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-12-02",0.896988432831182,12.4227857814296,"NJUMP"
"46","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-12-31",2.05878946426236,-7.36555183519064,"NJUMP"
"52","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-03-26",0.0358677328682751,-56.6247951495444,"NJUMP"
"53","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-01-24",1.30420082162582,36.7705129056813,"NJUMP"
"58","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-09-03",1.59999772221702,85.3097256225938,"NJUMP"
"59","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-12-22",1.52533006060758,39.8029059793494,"NJUMP"
"63","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-03-12",0.892015315801242,80.5622930723489,"NJUMP"
"64","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-01-13",0.791400351298901,-172.993694191321,"NJUMP"
"65","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-01-31",1.56082749099795,60.6389976298608,"NJUMP"
"68","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-11-30",0.692730079393975,11.765156739179,"NJUMP"
"70","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-12-29",1.14191642950319,-32.7633954972024,"NJUMP"
"71","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-01-20",0.368121528000809,13.6192489407289,"NJUMP"
