"","MKF","TS_DATE","VALUE","RETURNS","OUTLIER.TYPE"
"3","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-11-16",1.77887703802381,30.4489660554795,"PJUMP"
"5","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-11-26",1.03101566387934,24.1687941906441,"PJUMP"
"9","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-01-11",1.19982719880258,14.7196116298387,"PJUMP"
"15","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-12-11",1.40240894976849,-70.0286884740235,"PJUMP"
"16","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-07-04",1.14573193107653,-113.984878040092,"PJUMP"
"21","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-04-27",0.157448942509948,-76.0298900449264,"PJUMP"
"22","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-02-03",1.65058455698135,-31.418489437679,"PJUMP"
"23","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2020-01-01",2.13326948328179,13.6331699078864,"PJUMP"
"25","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-05-13",1.89608672817613,9.36766991388015,"PJUMP"
"29","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-10-13",1.61890463580398,-50.3863505012943,"PJUMP"
"35","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-05-20",0.629610612307722,-19.0750921849873,"PJUMP"
"36","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-05-07",1.81543971755617,-71.5157426242453,"PJUMP"
"37","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-08-29",1.05320676278463,-9.21892831932126,"PJUMP"
"47","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-12-06",1.68192074989782,25.9900274836912,"PJUMP"
"48","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-08-27",1.86933795815553,169.545278111951,"PJUMP"
"60","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-01-15",0.729992122314784,-41.5138653101672,"PJUMP"
"61","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-04-16",1.32947727854746,100.306553665876,"PJUMP"
"66","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-08-31",0.604737372814635,2.50486171844585,"PJUMP"
"74","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-10-16",0.390161869297488,-3.43395392626332,"PJUMP"
"77","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-06-04",2.12040764222701,-1.43951700948174,"PJUMP"
"81","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-06-24",1.21984494562306,93.7242097996499,"PJUMP"
"90","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-12-18",1.77663716978431,84.6995098175396,"PJUMP"
"91","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-02-07",0.13079949878692,-25.7597550966814,"PJUMP"
"95","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-10-09",0.257423223283399,36.2099020025854,"PJUMP"
"102","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-12-11",1.96439669127679,103.217433156713,"PJUMP"
"105","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-04-22",0.966932620082839,68.1784972478117,"PJUMP"
"108","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-03-28",1.31927743815401,1.62852955677238,"PJUMP"
"112","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-11-27",0.0906202477227375,86.305230831063,"PJUMP"
"113","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-06-30",0.311646661803208,-54.5230399763696,"PJUMP"
"115","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-12-22",1.57101306796771,46.4907831032455,"PJUMP"
"118","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-04-29",1.85896406011779,-9.9512185409666,"PJUMP"
"121","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-07-02",0.397993006573166,-130.936812854784,"PJUMP"
"123","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-07-02",1.72960940665974,97.2084201422407,"PJUMP"
"125","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-09-05",2.00530347819986,175.879968901975,"PJUMP"
"126","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-06-26",1.53258723281015,-9.9722127478036,"PJUMP"
"129","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-10-08",1.75595351692772,94.7520859374365,"PJUMP"
"136","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-06-12",1.2200641376873,-117.876347971697,"PJUMP"
