"","MKF","TS_DATE","VALUE","RETURNS","OUTLIER.TYPE"
"1","CDSP. TRADIG.USD.SNRFOR.MR14.060M","1-Nov-18",0.033362,"R","PJUMP"
"3","CDSP. TRADIG.USD.SNRFOR.MR14.060M","5-Nov-18",0.033194,"0.007344015537752","PJUMP"
"5","CDSP. TRADIG.USD.SNRFOR.MR14.060M","7-Nov-18",0.032178,"0.000684164697102","PJUMP"
"8","CDSP. TRADIG.USD.SNRFOR.MR14.060M","12-Nov-18",0.03138,"0.020388254804409","PJUMP"
"9","CDSP. TRADIG.USD.SNRFOR.MR14.060M","13-Nov-18",0.031517,"0.004365838113448","PJUMP"
"11","CDSP. TRADIG.USD.SNRFOR.MR14.060M","15-Nov-18",0.029646,"0.047524822444437","PJUMP"
"13","CDSP. TRADIG.USD.SNRFOR.MR14.060M","19-Nov-18",0.03034,"0.037264957264957","PJUMP"
"14","CDSP. TRADIG.USD.SNRFOR.MR14.060M","20-Nov-18",0.030523,"0.006031641397495","PJUMP"
"16","CDSP. TRADIG.USD.SNRFOR.MR14.060M","22-Nov-18",0.030753,"0.011245930748742","PJUMP"
"19","CDSP. TRADIG.USD.SNRFOR.MR14.060M","27-Nov-18",2.160006,"71.3498911405125","PJUMP"
"22","CDSP. TRADIG.USD.SNRFOR.MR14.060M","30-Nov-18",2.112944,"0.051477481960687","PJUMP"
